Voltage,Current,Power,Energy,Temperature,MotorVoltage,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,WheelSpeed,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
28.413,0.074,2.097,2920.765,17.62,0.174,3.8586,0.0,0.0,0.0,Accelerating,1.0,20.0,0.11813545227050781,,,,,
28.416,0.072,1.781,2920.973,17.62,0.099,3.8471,0.0,0.0,0.0,Accelerating,1.0,20.0,0.24546241760253906,,,,,
28.416,0.074,2.118,2921.18,17.62,0.174,3.8414,0.0,0.0,0.0,Accelerating,1.0,20.0,0.4306755065917969,,,,,
28.413,0.065,1.824,0.031,17.62,0.084,3.8529,0.0,0.0,0.0,Accelerating,1.0,20.0,0.49488162994384766,,,,,
28.413,0.134,3.835,0.261,17.62,0.668,4.7495,2.0,100.0,0.0,Accelerating,1.0,20.0,0.5927133560180664,,,,,
28.378,0.607,17.223,1.229,17.62,3.321,6.0543,13.0,100.0,0.0,Accelerating,1.0,20.0,0.6440062522888184,,,,,
28.247,2.386,67.355,7.043,17.62,4.461,17.9123,23.0,100.0,0.0,Accelerating,1.0,20.0,0.6999354362487793,,,,,
28.219,2.575,72.669,14.638,17.62,5.914,18.2055,33.0,100.0,0.0,Accelerating,1.0,20.0,0.788020133972168,,,,,
28.163,3.569,96.504,24.238,17.62,7.338,18.7688,44.0,100.0,0.0,Accelerating,1.0,20.0,0.8686649799346924,,,,,
28.131,3.881,109.164,35.167,17.62,7.099,18.194,55.0,100.0,0.0,Accelerating,1.0,20.0,0.9357213973999023,,,,,
28.084,4.625,129.854,47.739,17.62,8.238,18.694,65.0,100.0,0.0,Accelerating,1.0,20.0,1.0012555122375488,,,,,
28.028,5.126,143.724,62.5,17.75,9.497,18.1652,76.0,100.0,0.0,Accelerating,1.0,20.0,1.079730749130249,,,,,
27.984,5.678,160.788,78.751,17.75,11.625,19.0274,86.0,100.0,0.0,Accelerating,1.0,20.0,1.1288371086120605,,,,,
27.978,5.837,161.72,96.492,17.75,9.182,17.6422,97.0,100.0,0.0,Accelerating,1.0,20.0,1.1852374076843262,,,,,
27.909,6.77,188.945,115.369,17.75,10.006,18.1307,100.0,100.0,0.0,Accelerating,1.0,20.0,1.256751537322998,,,,,
27.875,7.26,202.292,136.52,17.75,11.146,18.5331,100.0,100.0,1.766,Accelerating,1.0,20.0,1.3893330097198486,,,,,
27.825,7.834,217.924,158.515,17.87,11.955,18.2342,100.0,100.0,1.766,Accelerating,1.0,20.0,1.4649357795715332,,,,,
27.778,8.304,230.991,182.584,18.0,15.208,18.0503,100.0,100.0,1.766,Accelerating,1.0,20.0,1.5316503047943115,,,,,
27.744,8.63,239.441,208.128,18.0,14.998,18.4526,100.0,100.0,1.766,Accelerating,1.0,20.0,1.650146245956421,,,,,
27.731,8.894,246.654,234.225,18.0,16.662,17.9238,100.0,100.0,1.766,Accelerating,1.0,20.0,1.7616922855377197,,,,,
,,,,,,,,,,,,,1.7743496894836426,1783.0,1.5753080000000002,1.675426,4.488,8.36
27.675,9.811,271.495,262.272,18.12,17.951,17.1191,100.0,100.0,1.766,Accelerating,1.0,20.0,1.8866939544677734,,,,,
27.634,10.145,280.388,290.788,18.12,19.3,16.4409,100.0,100.0,1.766,Accelerating,1.0,20.0,2.034013032913208,,,,,
27.606,10.601,292.671,320.402,18.12,20.768,16.027,100.0,100.0,1.766,Accelerating,1.0,20.0,2.0834414958953857,,,,,
27.581,10.913,300.982,352.312,18.25,20.499,18.4814,100.0,100.0,1.766,Accelerating,1.0,20.0,2.222846031188965,,,,,
27.566,11.136,306.96,383.808,18.25,19.285,17.2456,100.0,100.0,1.766,Accelerating,1.0,20.0,2.2999255657196045,,,,,
27.556,11.002,303.102,416.632,18.37,18.445,17.0731,100.0,100.0,1.766,Accelerating,1.0,20.0,2.432548999786377,,,,,
27.547,11.112,306.101,448.996,18.37,20.978,17.1766,100.0,100.0,1.766,Accelerating,1.0,20.0,2.5063254833221436,,,,,
27.531,11.311,311.285,482.573,18.37,22.207,15.3258,100.0,100.0,1.766,Accelerating,1.0,20.0,2.63118052482605,,,,,
27.522,11.254,309.703,516.372,18.5,23.197,17.6479,100.0,100.0,1.766,Accelerating,1.0,20.0,2.712844133377075,,,,,
,,,,,,,,,,,,,2.7222304344177246,2720.0,6.408437999999999,6.81777,4.717,35.73
27.519,11.501,316.474,549.281,18.5,21.563,17.7744,100.0,100.0,1.766,Accelerating,1.0,20.0,2.836592674255371,,,,,
27.525,11.371,318.501,583.058,18.5,20.199,15.5442,100.0,100.0,1.766,Accelerating,1.0,20.0,2.927639961242676,,,,,
27.519,11.383,313.886,616.796,18.62,22.687,16.1075,100.0,100.0,1.766,Accelerating,1.0,20.0,3.0333547592163086,,,,,
27.519,11.395,313.483,649.344,18.62,19.584,13.7508,100.0,100.0,1.766,Accelerating,1.0,20.0,3.1403443813323975,,,,,
27.516,11.318,311.473,682.683,18.62,21.728,15.7511,100.0,100.0,13.777,Accelerating,1.0,20.0,3.239423990249634,,,,,
27.538,11.206,308.43,714.739,18.62,21.683,14.3026,100.0,100.0,13.777,Accelerating,1.0,20.0,3.352954387664795,,,,,
27.544,10.987,302.746,747.418,18.62,22.477,14.8659,100.0,100.0,13.777,Accelerating,1.0,20.0,3.4698216915130615,,,,,
27.531,11.028,312.068,779.996,18.62,22.702,16.5788,100.0,100.0,13.777,Accelerating,1.0,20.0,3.579874038696289,,,,,
27.506,11.587,318.756,811.546,18.62,24.261,17.5674,100.0,100.0,13.777,Accelerating,1.0,20.0,3.6859352588653564,,,,,
,,,,,,,,,,,,,3.686112642288208,3658.0,10.484924,11.153853999999999,4.822,59.76
27.519,11.088,305.119,843.61,18.62,21.833,12.7507,100.0,100.0,13.777,Accelerating,1.0,20.0,3.793923854827881,,,,,
27.506,11.242,309.236,877.325,18.62,20.199,12.3023,100.0,100.0,13.777,Accelerating,1.0,20.0,3.908991813659668,,,,,
27.478,11.39,313.016,911.017,18.75,24.696,16.8432,100.0,100.0,13.777,Accelerating,1.0,20.0,4.018144130706787,,,,,
27.45,12.259,335.975,946.867,18.75,24.755,16.1994,100.0,100.0,13.777,Accelerating,1.0,20.0,4.0886125564575195,,,,,
27.397,12.746,349.188,984.33,18.75,25.325,14.3199,100.0,100.0,13.777,Accelerating,1.0,20.0,4.208891153335571,,,,,
27.253,15.84,431.695,1022.569,18.87,26.704,18.5331,100.0,100.0,13.777,Accelerating,1.0,20.0,4.3199310302734375,,,,,
27.35,13.577,357.058,1062.904,19.0,27.274,17.2686,100.0,100.0,13.777,Accelerating,1.0,20.0,4.448006868362427,,,,,
27.228,14.856,404.284,1103.639,19.0,27.229,17.7399,100.0,100.0,13.777,Accelerating,1.0,20.0,4.477760314941406,,,,,
27.337,13.354,365.088,1145.426,19.12,27.513,14.3429,100.0,100.0,13.777,Accelerating,1.0,20.0,4.62965989112854,,,,,
,,,,,,,,,,,,,4.630190134048462,4596.0,13.318351999999999,14.168911999999999,4.875,76.75
27.4,12.298,337.043,1181.046,19.0,27.693,13.1128,100.0,100.0,13.777,Accelerating,1.0,20.0,4.725043535232544,,,,,
27.491,10.867,298.994,1214.738,19.0,27.708,12.5897,100.0,100.0,13.777,Accelerating,1.0,20.0,4.856380939483643,,,,,
27.547,10.118,288.711,1245.412,18.87,27.738,11.4746,100.0,100.0,13.777,Accelerating,1.0,20.0,4.956624746322632,,,,,
27.587,9.713,267.925,1273.789,18.75,27.678,11.9575,100.0,100.0,13.777,Accelerating,1.0,20.0,5.06269645690918,,,,,
27.603,9.758,269.338,1301.837,18.75,27.783,11.6356,100.0,100.0,13.777,Accelerating,1.0,20.0,5.186199426651001,,,,,
27.638,9.098,251.444,1328.486,18.62,27.753,11.1298,100.0,100.0,23.668,Accelerating,1.0,20.0,5.255642890930176,,,,,
27.647,8.736,241.511,1353.83,18.62,27.888,11.2447,100.0,100.0,23.668,Accelerating,1.0,20.0,5.388555288314819,,,,,
27.678,7.838,236.109,1379.704,18.62,27.768,11.285,100.0,100.0,23.668,Accelerating,1.0,20.0,5.510218620300293,,,,,
,,,,,,,,,,,,,5.5234215259552,5534.0,16.718819999999997,17.78645,4.918,97.18
27.647,8.203,226.999,1404.157,18.5,27.873,11.4631,100.0,100.0,23.668,Coasting,1.0,20.0,5.551602840423584,,,,,
28.256,0.758,21.456,1416.768,18.37,23.766,4.4794,82.0,0.0,23.668,Coasting,1.0,20.0,5.687695503234863,,,,,
28.278,0.516,14.577,1417.912,18.25,17.111,4.6921,60.0,0.0,23.668,Coasting,1.0,20.0,5.76890754699707,,,,,
28.275,0.346,9.737,1419.763,18.12,12.27,4.6173,40.0,0.0,23.668,Coasting,1.0,20.0,5.906034231185913,,,,,
28.275,0.247,11.616,1421.076,18.12,5.405,4.1403,18.0,0.0,23.668,Coasting,1.0,20.0,6.001490354537964,,,,,
28.303,0.077,2.195,1421.507,18.0,0.114,3.8529,0.0,0.0,23.668,Coasting,1.0,20.0,6.138811826705933,,,,,
28.303,0.074,2.131,1421.729,18.0,0.159,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,6.2064454555511475,,,,,
28.306,0.074,2.089,1421.937,17.87,0.129,3.8529,0.0,0.0,23.668,Coasting,1.0,20.0,6.326520681381226,,,,,
28.306,0.082,2.301,1422.152,17.87,0.114,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,6.418673276901245,,,,,
,,,,,,,,,,,,,6.465621709823608,6472.0,18.702574,19.896016,4.932,109.03
28.309,0.072,2.068,1422.367,17.87,0.129,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,6.527679681777954,,,,,
28.312,0.07,1.983,1422.582,17.87,0.159,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,6.65460205078125,,,,,
28.312,0.072,2.004,1422.789,17.87,0.144,3.8471,0.0,0.0,23.668,Coasting,1.0,20.0,6.7645697593688965,,,,,
28.312,0.062,1.771,1422.996,17.87,0.189,3.8529,0.0,0.0,23.668,Coasting,1.0,20.0,6.840015172958374,,,,,
28.312,0.067,1.898,1423.212,17.87,0.174,3.8299,0.0,0.0,23.668,Coasting,1.0,20.0,6.967002868652344,,,,,
28.316,0.072,2.047,1423.419,17.87,0.144,3.8644,0.0,0.0,23.668,Coasting,1.0,20.0,7.056674242019653,,,,,
28.316,0.074,2.132,1423.642,17.75,0.144,3.8529,0.0,0.0,23.668,Coasting,1.0,20.0,7.159776926040649,,,,,
28.316,0.074,2.089,1423.849,17.87,0.174,3.8931,0.0,0.0,23.668,Coasting,1.0,20.0,7.314715147018433,,,,,
28.319,0.074,2.089,1424.056,17.75,0.084,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,7.366398334503174,,,,,
,,,,,,,,,,,,,7.42429780960083,7410.0,16.718819999999997,17.78645,4.913,97.09
28.319,0.074,2.111,1424.271,17.75,0.144,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,7.507344484329224,,,,,
28.319,0.082,2.281,1424.486,17.75,0.099,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,7.594302415847778,,,,,
28.322,0.072,2.111,1424.694,17.75,0.039,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,7.678716421127319,,,,,
28.322,0.067,1.878,1424.909,17.75,0.114,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,7.796870231628418,,,,,
28.322,0.07,1.962,1425.124,17.75,0.114,3.8471,0.0,0.0,23.668,Coasting,1.0,20.0,7.902643203735352,,,,,
28.322,0.072,2.026,1425.339,17.75,0.114,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,8.015002489089966,,,,,
28.325,0.077,2.133,1425.554,17.75,0.114,3.8529,0.0,0.0,23.668,Coasting,1.0,20.0,8.117446422576904,,,,,
28.328,0.074,2.112,1425.777,17.75,0.114,3.8471,0.0,0.0,23.668,Coasting,1.0,20.0,8.217772722244263,,,,,
28.325,0.072,2.027,1425.984,17.75,0.174,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,8.333049774169922,,,,,
,,,,,,,,,,,,,8.344204187393188,8348.0,13.318351999999999,14.168911999999999,4.895,77.05
28.328,0.07,1.984,1426.199,17.75,0.114,3.8299,0.0,0.0,23.668,Coasting,1.0,20.0,8.449650049209595,,,,,
28.325,0.074,2.133,1426.414,17.75,0.174,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,8.53944206237793,,,,,
28.331,0.072,2.027,1426.637,17.75,0.144,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,8.658609390258789,,,,,
28.331,0.067,1.92,1426.852,17.75,0.114,3.8299,0.0,0.0,23.668,Coasting,1.0,20.0,8.76520323753357,,,,,
28.328,0.07,1.963,1427.052,17.75,0.114,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,8.891235589981079,,,,,
28.331,0.077,2.154,1427.274,17.75,0.114,3.8299,0.0,0.0,23.668,Coasting,1.0,20.0,8.948587894439697,,,,,
28.331,0.072,2.239,1427.489,17.75,0.144,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,9.069555521011353,,,,,
28.331,0.067,1.92,1427.704,17.75,0.324,3.8414,0.0,0.0,23.668,Coasting,1.0,20.0,9.176197528839111,,,,,
